location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
CZ;2023-W41;11,9;70,265884;19,420214;11,141643;1;11,899999618530273;;;
CZ;2023-W42;13,8;80,25716;15,3845;5,7630715;1;16,299999237060547;16,299999237060547;;
CZ;2023-W43;14,0;79,10542;15,713072;9,070214;1;11,100000381469727;11,100000381469727;11,100000381469727;
CZ;2023-W44;14,9;77,64357;13,255929;7,3130717;1;15,399999618530273;15,399999618530273;15,399999618530273;15,399999618530273
CZ;2023-W45;17,4;75,69252;10,841643;3,5345;1;13,0;13,0;13,0;13,0
CZ;2023-W46;12,4;81,31222;10,005929;4,841643;1;14,199999809265137;14,199999809265137;14,199999809265137;14,199999809265137
CZ;2023-W47;22,5;78,818184;5,2630715;0,3559286;1;18,200000762939453;18,200000762939453;18,200000762939453;18,200000762939453
CZ;2023-W48;27,7;88,49458;-0,45121425;-5,0583572;1;23,399999618530273;23,399999618530273;23,399999618530273;23,399999618530273
CZ;2023-W49;36,7;91,00765;3,0487857;-2,5440712;1;43,20000076293945;43,20000076293945;43,20000076293945;43,20000076293945
CZ;2023-W50;41,7;85,301;7,6273575;2,8559287;1;108,69999694824219;108,69999694824219;108,69999694824219;108,69999694824219
CZ;2023-W51;42,2;77,296555;7,705929;4,341643;1;168,8000030517578;168,8000030517578;168,8000030517578;168,8000030517578
CZ;2023-W52;29,3;77,2977;9,3845005;3,7595;1;133,5;133,5;133,5;133,5
CZ;2024-W01;40,3;83,660835;4,8773575;0,81307137;1;158,0;158,0;158,0;158,0
CZ;2024-W02;43,5;71,078926;0,3202143;-5,108357;1;116,0;116,0;116,0;116,0
CZ;2024-W03;68,4;74,04038;3,7130716;-4,0940714;1;91,69999694824219;91,69999694824219;91,69999694824219;91,69999694824219
CZ;2024-W04;108,8;76,18722;8,070214;-0,15835722;1;74,0999984741211;74,0999984741211;74,0999984741211;74,0999984741211
CZ;2024-W05;176,9;82,84702;7,5773573;2,7416427;1;67,69999694824219;67,69999694824219;67,69999694824219;67,69999694824219
CZ;2024-W06;182,7;83,26222;10,477358;4,5344996;1;55,900001525878906;55,900001525878906;55,900001525878906;55,900001525878906
CZ;2024-W07;152,2;82,16686;11,370214;3,827357;1;50,70000076293945;50,70000076293945;50,70000076293945;50,70000076293945
CZ;2024-W08;103,4;77,74081;10,077357;3,277357;1;62,70000076293945;62,70000076293945;62,70000076293945;62,70000076293945
CZ;2024-W09;71,4;87,63831;11,463072;2,4773571;1;73,5999984741211;73,5999984741211;73,5999984741211;73,5999984741211
CZ;2024-W10;46,1;79,88826;10,363072;1,977357;1;67,4000015258789;67,4000015258789;67,4000015258789;67,4000015258789
CZ;2024-W11;33,5;75,76823;12,691643;3,541643;1;54,5;54,5;54,5;54,5
CZ;2024-W12;24,9;72,85533;12,570214;1,7702142;1;45,29999923706055;45,29999923706055;45,29999923706055;45,29999923706055
CZ;2024-W13;17,2;60,43842;19,477356;6,0487857;1;40,79999923706055;40,79999923706055;40,79999923706055;40,79999923706055
CZ;2024-W14;17,7;64,664604;21,070215;9,648787;1;26,299999237060547;26,299999237060547;26,299999237060547;26,299999237060547
CZ;2024-W15;14,9;64,68207;20,31307;8,913072;1;23,100000381469727;23,100000381469727;23,100000381469727;23,100000381469727
CZ;2024-W16;14,5;68,66731;9,370214;1,4702142;1;22,899999618530273;22,899999618530273;22,899999618530273;22,899999618530273
CZ;2024-W17;11,2;61,0626;16,377356;3,3987858;1;18,100000381469727;18,100000381469727;18,100000381469727;18,100000381469727
CZ;2024-W18;9,1;61,157635;22,5345;12,155929;1;13,800000190734863;13,800000190734863;13,800000190734863;13,800000190734863
CZ;2024-W19;8,2;71,64243;18,71307;8,391643;1;11,0;11,0;11,0;11,0
CZ;2024-W20;11,4;61,841805;20,841642;11,277357;1;10,699999809265137;10,699999809265137;10,699999809265137;10,699999809265137
CZ;2024-W21;10,6;76,63405;21,41307;12,420215;1;8,5;8,5;8,5;8,5
CZ;2024-W22;6,9;81,28878;19,677357;12,398787;0;6,0;6,0;6,0;6,0
CZ;2024-W23;8,4;68,33288;23,213072;13,170215;0;7,199999809265137;7,199999809265137;7,199999809265137;7,199999809265137
CZ;2024-W24;9,1;59,4909;21,577356;11,991643;0;6,199999809265137;6,199999809265137;6,199999809265137;6,199999809265137
CZ;2024-W25;5,6;63,614628;27,25593;15,491643;0;6,099999904632568;6,099999904632568;6,099999904632568;6,099999904632568
CZ;2024-W26;5,8;64,58422;28,948786;17,377356;0;6,099999904632568;6,099999904632568;6,099999904632568;6,099999904632568
CZ;2024-W27;4,3;66,5827;23,0345;13,827357;0;2,5;2,5;2,5;2,5
CZ;2024-W28;5,4;71,96072;29,1845;17,755928;0;3,200000047683716;3,200000047683716;3,200000047683716;3,200000047683716
CZ;2024-W29;4,6;53,188457;29,491642;18,355928;0;3,5;3,5;3,5;3,5
CZ;2024-W30;5,5;55,972927;27,398785;16,505928;0;3,200000047683716;3,200000047683716;3,200000047683716;3,200000047683716
CZ;2024-W31;3,9;62,472736;26,827356;15,798785;0;2,299999952316284;2,299999952316284;2,299999952316284;2,299999952316284
CZ;2024-W32;3,2;63,628536;28,06307;15,620214;0;2,200000047683716;2,200000047683716;2,200000047683716;2,200000047683716
CZ;2024-W33;3,7;64,30017;30,077358;19,027357;0;3,0;3,0;3,0;3,0
CZ;2024-W34;5,5;64,74662;26,541641;15,041643;0;3,0999999046325684;3,0999999046325684;3,0999999046325684;3,0999999046325684
CZ;2024-W35;3,4;66,377045;29,455929;16,91307;0;3,9000000953674316;3,9000000953674316;3,9000000953674316;3,9000000953674316
CZ;2024-W36;6,5;53,638348;30,405928;17,820215;0;4,099999904632568;4,099999904632568;4,099999904632568;4,099999904632568
CZ;2024-W37;11,1;77,75919;15,055928;10,720215;0;7,400000095367432;7,400000095367432;7,400000095367432;7,400000095367432
CZ;2024-W38;13,5;75,699905;22,263071;10,863072;0;9,300000190734863;9,300000190734863;9,300000190734863;9,300000190734863
CZ;2024-W39;17,0;73,636665;17,720213;10,013071;0;7,300000190734863;7,300000190734863;7,300000190734863;7,300000190734863
CZ;2024-W40;19,4;83,13026;13,4845;7,2987857;0;10,199999809265137;10,199999809265137;10,199999809265137;10,199999809265137
CZ;2024-W41;20,5;78,95836;16,401167;8,2095;0;11,899999618530273;11,899999618530273;11,899999618530273;11,899999618530273
