location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
LV;2023-W41;976,5;78,29667;12,456429;7,1349998;1;2003,300048828125;;;
LV;2023-W42;1249,6;83,114;6,8921432;2,6207142;1;2018,199951171875;2018,199951171875;;
LV;2023-W43;1153,6;82,380066;5,0064282;0,8421429;1;1916,199951171875;1916,199951171875;1916,199951171875;
LV;2023-W44;1079,3;86,40421;10,442143;4,863571;1;1948,0;1948,0;1948,0;1948,0
LV;2023-W45;1032,3;92,61639;7,970714;4,656429;1;1834,5;1834,5;1834,5;1834,5
LV;2023-W46;1179,2;85,2798;1,4992857;-1,6435715;1;1936,199951171875;1936,199951171875;1936,199951171875;1936,199951171875
LV;2023-W47;1205,5;85,07762;-0,7221428;-4,9435716;1;2443,60009765625;2443,60009765625;2443,60009765625;2443,60009765625
LV;2023-W48;1205,3;90,43286;-2,8864286;-8,029285;1;2492,699951171875;2492,699951171875;2492,699951171875;2492,699951171875
LV;2023-W49;1514,7;89,91191;-3,9792857;-7,4364285;1;2901,199951171875;2901,199951171875;2901,199951171875;2901,199951171875
LV;2023-W50;1519,0;92,7757;1,9564285;-1,8149999;1;2555,0;2555,0;2555,0;2555,0
LV;2023-W51;1357,7;91,504585;2,8778572;-0,050714254;1;2505,10009765625;2505,10009765625;2505,10009765625;2505,10009765625
LV;2023-W52;1100,7;88,969215;2,60375;-1,69;1;2540,39990234375;2540,39990234375;2540,39990234375;2540,39990234375
LV;2024-W01;1016,2;68,19779;-10,143571;-17,09357;1;2573,5;2573,5;2573,5;2573,5
LV;2024-W02;1128,5;84,08788;0,042142846;-5,0435715;1;2232,0;2232,0;2232,0;2232,0
LV;2024-W03;1246,3;86,14768;-2,0292857;-7,8650002;1;2199,300048828125;2199,300048828125;2199,300048828125;2199,300048828125
LV;2024-W04;1346,2;89,30706;2,4492857;-1,0078571;1;2007,699951171875;2007,699951171875;2007,699951171875;2007,699951171875
LV;2024-W05;1419,6;84,51093;3,9064286;-0,43642855;1;2046,0999755859375;2046,0999755859375;2046,0999755859375;2046,0999755859375
LV;2024-W06;1412,7;83,19142;-1,3435715;-4,886429;1;1898,0999755859375;1898,0999755859375;1898,0999755859375;1898,0999755859375
LV;2024-W07;1413,3;90,455124;3,3278573;-1,0721428;1;1942,699951171875;1942,699951171875;1942,699951171875;1942,699951171875
LV;2024-W08;1419,6;85,99925;5,8707147;0,84928566;1;1965,699951171875;1965,699951171875;1965,699951171875;1965,699951171875
LV;2024-W09;1340,1;88,429184;6,6064286;0,4564286;1;2083,39990234375;2083,39990234375;2083,39990234375;2083,39990234375
LV;2024-W10;1297,6;76,2784;3,385;-3,3792858;1;1973,800048828125;1973,800048828125;1973,800048828125;1973,800048828125
LV;2024-W11;1097,0;76,058365;7,5350003;1,6778572;1;1880,0;1880,0;1880,0;1880,0
LV;2024-W13;899,2;76,950005;14,249286;4,299286;1;1960,300048828125;1960,300048828125;1960,300048828125;1960,300048828125
LV;2024-W14;932,7;80,35859;11,399285;2,8707144;1;1740,800048828125;1740,800048828125;1740,800048828125;1740,800048828125
LV;2024-W15;1003,8;78,347466;14,620714;6,8635716;1;1617,5;1617,5;1617,5;1617,5
LV;2024-W16;945,23334;77,38517;6,335;0,12071429;1;1649,199951171875;1649,199951171875;1649,199951171875;1649,199951171875
LV;2024-W17;968,25;78,7757;12,949286;2,792143;1;1848,0;1848,0;1848,0;1848,0
LV;2024-W18;1219,7;66,32311;17,177856;8,099286;1;1504,0;1504,0;1504,0;1504,0
LV;2024-W19;1496,75;71,71208;10,342143;4,570714;1;;;;
LV;2024-W20;1496,75;69,08984;21,149286;8,899286;1;1269,5;1269,5;1269,5;1269,5
LV;2024-W40;1435,6;83,64136;11,627858;4,3849998;0;1041,0999755859375;1041,0999755859375;1041,0999755859375;1041,0999755859375
LV;2024-W41;1557,9;84,8749;14,568334;6,443333;0;976,5;976,5;976,5;976,5
